LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
E01029974,Ipswich 002B,E07000202,Ipswich,8.584,26731,8,0.112,24439,8,0.073,24852,8,10.15,22533,7,-0.221,19657,6,-0.568,24862,8,12.822,26987,8,16.968,17538,6,0.201,22947,7,0.058,28534,9,-1.021,29750,9,0.234,15584,5,29.113,20727,7,-0.404,17675,6,-0.04,16576,5,0.061,14461,5,1544,251,420,974
E01029975,Ipswich 002C,E07000202,Ipswich,14.609,19752,6,0.184,16864,5,0.085,21887,7,25.015,11354,4,0.103,14879,5,-0.107,18373,6,20.753,16017,5,4.42,30166,9,0.279,17911,6,0.135,18113,6,0.246,12905,4,0.292,9511,3,34.169,15532,5,1.015,11605,4,-0.709,29650,9,-0.44,23847,8,1327,324,329,748
E01029976,Ipswich 002D,E07000202,Ipswich,12.158,22411,7,0.155,19601,6,0.099,18854,6,23.475,12207,4,-0.355,21654,7,-0.27,20683,7,11.176,28954,9,8.894,24996,8,0.219,21685,7,0.098,22201,7,0.137,14447,5,0.289,9759,3,29.911,19918,6,-1.187,21293,7,-0.396,24184,8,-0.224,19833,6,1558,292,451,916
E01029977,Ipswich 002E,E07000202,Ipswich,6.434,29266,9,0.078,28933,9,0.068,25963,8,13.962,19003,6,-0.472,23347,7,-0.882,28605,9,10.275,29897,9,10.949,22826,7,0.13,28274,9,0.043,31024,10,-0.444,23166,7,0.245,14270,5,31.791,17926,6,-2.199,25615,8,-0.562,27465,9,0.287,10801,4,1529,252,464,918
E01029978,Ipswich 016A,E07000202,Ipswich,21.586,13453,4,0.232,13453,4,0.157,10518,4,40.646,5325,2,0.131,14491,5,0.197,13847,5,13.319,26353,8,7.958,26034,8,0.389,12445,4,0.147,17039,6,0.975,4736,2,0.334,6149,2,28.071,21806,7,-0.047,16068,5,-0.359,23386,7,-0.486,24635,8,1300,275,335,746
E01029979,Ipswich 016B,E07000202,Ipswich,48.651,2599,1,0.493,2682,1,0.278,2551,1,79.398,172,1,1.02,4468,2,0.838,5516,2,17.156,21069,7,6.527,27685,9,0.621,4154,2,0.417,4269,2,1.842,597,1,0.475,689,1,28.632,21240,7,0.993,11693,4,-0.765,30285,9,-0.057,16604,5,1570,402,317,902
E01029980,Ipswich 016C,E07000202,Ipswich,47.041,2936,1,0.509,2324,1,0.269,2875,1,65.487,935,1,0.987,4733,2,0.934,4647,2,22.61,13671,5,3.127,31533,10,0.639,3696,2,0.41,4433,2,1.641,1041,1,0.407,2213,1,33.731,15973,5,1.612,9533,3,-0.787,30530,10,-0.631,26947,8,1607,436,242,973
E01029981,Ipswich 016D,E07000202,Ipswich,11.199,23547,7,0.177,17504,6,0.087,21477,7,20.146,14265,5,-0.277,20506,7,-0.382,22251,7,11.946,28081,9,3.245,31402,10,0.364,13584,5,0.088,23532,7,-0.207,19557,6,0.289,9702,3,31.951,17745,6,-1.411,22315,7,-0.614,28314,9,-1.042,31576,10,1223,242,368,694
E01029982,Ipswich 016E,E07000202,Ipswich,34.383,6409,2,0.429,4409,2,0.204,6381,2,56.958,2041,1,0.709,7338,3,0.395,10983,4,15.88,22976,7,1.392,33174,10,0.533,6846,3,0.391,4956,2,1.265,2705,1,0.408,2184,1,32.091,17621,6,0.004,15833,5,-1.217,33212,10,-0.744,28572,9,1465,365,244,885
E01029983,Ipswich 016F,E07000202,Ipswich,13.442,20981,7,0.158,19289,6,0.094,19948,6,20.242,14190,5,-0.003,16464,5,-0.054,17582,6,9.958,30197,9,18.235,16594,5,0.258,19140,6,0.07,26387,8,0.084,15204,5,0.262,12416,4,27.132,22728,7,-1.073,20791,7,0.076,14273,5,-0.075,16971,6,1604,339,358,985
E01029984,Ipswich 010A,E07000202,Ipswich,28.47,9064,3,0.296,9760,3,0.178,8478,3,42.82,4779,2,0.661,7856,3,0.504,9484,3,20.335,16565,5,11.575,22203,7,0.447,10078,3,0.159,16021,5,0.7,7304,3,0.383,3205,1,31.687,18050,6,1.362,10350,4,-0.508,26438,8,0.29,10765,4,1628,348,355,1006
E01029985,Ipswich 010B,E07000202,Ipswich,27.901,9372,3,0.288,10176,4,0.158,10384,4,40.832,5282,2,0.445,10341,4,0.692,7126,3,23.251,12877,4,18.514,16383,5,0.495,8217,3,0.167,15425,5,1.136,3530,2,0.308,8012,3,28.068,21809,7,2.68,6518,2,-0.377,23788,8,0.807,4781,2,2623,503,421,1803
E01029986,Ipswich 010C,E07000202,Ipswich,44.828,3404,2,0.448,3820,2,0.265,3015,1,58.126,1863,1,1.16,3460,2,1.147,3013,1,22.124,14277,5,5.933,28362,9,0.535,6799,3,0.31,7693,3,1.552,1351,1,0.373,3722,2,31.495,18227,6,1.868,8708,3,-0.866,31315,10,-0.065,16761,5,1560,403,256,948
E01029987,Ipswich 010D,E07000202,Ipswich,41.254,4273,2,0.482,2954,1,0.259,3277,1,47.515,3719,2,1.314,2530,1,0.534,9074,3,16.609,21915,7,1.602,33032,10,0.683,2684,1,0.342,6538,2,0.751,6760,3,0.409,2166,1,30.522,19272,6,0.521,13554,5,-1.014,32383,10,-0.808,29392,9,1523,347,386,853
E01029988,Ipswich 010E,E07000202,Ipswich,41.289,4267,2,0.401,5272,2,0.229,4850,2,55.467,2278,1,0.862,5852,2,0.556,8819,3,29.305,7073,3,34.415,7149,3,0.664,3074,1,0.351,6191,2,1.251,2793,1,0.401,2466,1,22.69,26651,8,4.492,2935,1,0.45,8237,3,0.75,5280,2,2150,407,401,1447
E01029990,Ipswich 011B,E07000202,Ipswich,19.04,15463,5,0.2,15670,5,0.111,16670,5,18.266,15607,5,0.155,14154,5,-0.094,18180,6,11.056,29097,9,46.78,2930,1,0.325,15500,5,0.132,18403,6,0.034,15943,5,0.246,14138,5,23.709,25825,8,-0.157,16582,5,0.903,3059,1,0.537,7490,3,1481,298,242,1021
E01029991,Ipswich 011C,E07000202,Ipswich,8.909,26321,8,0.118,23623,7,0.073,24847,8,15.509,17720,6,-0.109,18015,6,-0.469,23495,7,10.351,29815,9,8.781,25113,8,0.175,24919,8,0.098,22256,7,-0.287,20764,7,0.248,13875,5,30.548,19245,6,-1.732,23708,8,-0.496,26218,8,-0.061,16685,5,1611,257,525,968
E01029992,Ipswich 011D,E07000202,Ipswich,14.293,20096,6,0.159,19169,6,0.095,19677,6,17.51,16151,5,0.014,16208,5,-0.051,17540,6,10.17,29995,9,28.954,9866,3,0.267,18633,6,0.093,22943,7,-0.236,19978,6,0.265,12052,4,25.584,24147,8,-0.727,19200,6,0.416,8683,3,0.288,10790,4,1329,238,367,838
E01029994,Ipswich 014B,E07000202,Ipswich,52.17,2000,1,0.534,1839,1,0.285,2299,1,84.177,82,1,1.135,3627,2,0.805,5834,2,19.737,17377,6,7.262,26814,8,0.715,2068,1,0.438,3744,2,1.969,393,1,0.494,487,1,28.104,21773,7,1.768,9021,3,-0.749,30089,9,0.024,15114,5,1622,358,294,1000
E01029995,Ipswich 014C,E07000202,Ipswich,10.613,24239,8,0.122,23176,7,0.069,25795,8,17.998,15779,5,-0.298,20801,7,-0.063,17729,6,6.778,32603,10,24.582,12338,4,0.166,25576,8,0.051,29727,9,-0.053,17213,6,0.252,13409,4,26.879,22970,7,-2.637,27265,9,0.264,10980,4,0.205,12092,4,1660,296,410,1041
E01029996,Ipswich 014D,E07000202,Ipswich,31.97,7386,3,0.359,6833,3,0.188,7614,3,57.33,1981,1,0.531,9290,3,0.615,8053,3,12.013,27999,9,12.674,21161,7,0.635,3801,2,0.151,16704,5,1.481,1626,1,0.379,3427,2,27.664,22214,7,-0.415,17720,6,-0.337,22947,7,0.16,12780,4,1649,338,395,1010
E01029997,Ipswich 004A,E07000202,Ipswich,7.405,28180,9,0.122,23096,7,0.085,21881,7,6.539,26465,8,-0.509,23837,8,-1.237,31480,10,11.883,28149,9,12.053,21744,7,0.119,29163,9,0.186,14148,5,-0.679,26281,8,0.172,24342,8,31.774,17942,6,-1.387,22195,7,-0.196,19926,6,-0.208,19534,6,1585,346,391,931
E01029998,Ipswich 004B,E07000202,Ipswich,32.836,7020,3,0.339,7673,3,0.195,7052,3,52.524,2756,1,0.785,6607,2,0.686,7204,3,22.397,13917,5,4.076,30522,10,0.485,8560,3,0.307,7854,3,1.268,2692,1,0.379,3435,2,38.588,11517,4,0.533,13506,5,-0.691,29413,9,-0.542,25565,8,1824,363,399,1110
E01029999,Ipswich 004C,E07000202,Ipswich,6.952,28696,9,0.113,24300,8,0.068,25950,8,4.764,28520,9,-0.473,23356,7,-1.114,30652,10,9.349,30733,10,22.352,13677,5,0.18,24514,8,0.067,27033,9,-0.73,26836,8,0.147,27891,9,29.125,20716,7,-1.823,24076,8,-0.005,15835,5,0.57,7135,3,1576,327,379,929
E01030000,Ipswich 004D,E07000202,Ipswich,9.686,25319,8,0.126,22730,7,0.07,25666,8,10.539,22181,7,-0.261,20251,6,-0.428,22906,7,10.066,30091,9,27.172,10835,4,0.184,24230,8,0.09,23344,7,-0.279,20626,7,0.189,21760,7,27.681,22193,7,-1.144,21090,7,0.455,8170,3,-0.037,16202,5,1606,358,274,1022
E01030001,Ipswich 004E,E07000202,Ipswich,22.613,12711,4,0.259,11767,4,0.185,7830,3,17.739,15974,5,0.655,7919,3,-0.034,17268,6,15.75,23153,7,13.765,20164,6,0.341,14674,5,0.207,12845,4,0.145,14336,5,0.226,16482,5,36.835,12956,4,-1.29,21749,7,-0.331,22798,7,0.271,11015,4,1803,356,531,999
E01030002,Ipswich 008A,E07000202,Ipswich,18.064,16306,5,0.219,14350,5,0.115,15993,5,21.09,13627,5,0.33,11807,4,-0.148,18974,6,14.977,24208,8,24.292,12505,4,0.252,19564,6,0.261,9852,3,0.367,11254,4,0.234,15536,5,26.549,23288,7,0.663,12958,4,0.175,12438,4,0.38,9435,3,2046,388,479,1292
E01030003,Ipswich 008B,E07000202,Ipswich,10.823,23992,8,0.139,21343,7,0.072,25065,8,13.92,19042,6,-0.012,16596,5,-0.718,26798,8,10.17,29996,9,26.753,11089,4,0.191,23696,8,0.132,18415,6,-0.292,20825,7,0.23,15950,5,25.377,24362,8,-0.695,19031,6,0.344,9751,3,0.241,11493,4,1735,339,458,1041
E01030004,Ipswich 008C,E07000202,Ipswich,5.898,29876,9,0.092,27219,9,0.046,31235,10,10.435,22274,7,-0.508,23812,8,-0.375,22160,7,9.558,30543,10,12.545,21285,7,0.157,26229,8,0.048,30286,9,-0.257,20304,7,0.185,22309,7,28.609,21259,7,-1.578,23032,7,-0.049,16794,5,-0.636,27021,9,1276,237,317,795
E01030005,Ipswich 008D,E07000202,Ipswich,13.801,20631,7,0.168,18250,6,0.085,21776,7,20.214,14216,5,0.079,15256,5,0.013,16585,5,14.112,25358,8,16.142,18182,6,0.255,19367,6,0.141,17528,6,0.366,11266,4,0.224,16783,5,29.426,20407,7,-0.034,16001,5,-0.137,18623,6,0.182,12444,4,2976,693,331,1998
E01030006,Ipswich 008E,E07000202,Ipswich,15.461,18820,6,0.208,15059,5,0.107,17347,6,13.787,19160,6,0.405,10852,4,-0.277,20790,7,13.303,26382,8,15.889,18391,6,0.263,18849,6,0.248,10476,4,-0.218,19716,6,0.222,17052,6,26.021,23789,8,0.239,14737,5,0.064,14478,5,-0.409,23246,7,1764,344,397,1083
E01030007,Ipswich 005A,E07000202,Ipswich,12.859,21593,7,0.181,17125,6,0.103,18172,6,9.186,23527,7,-0.318,21094,7,-0.097,18228,6,12.286,27650,9,23.568,12926,4,0.309,16316,5,0.089,23396,7,-0.184,19213,6,0.159,26326,8,27.119,22735,7,-0.228,16895,6,0.318,10181,4,-0.065,16753,5,2047,434,404,1314
E01030008,Ipswich 005B,E07000202,Ipswich,3.973,31881,10,0.054,31735,10,0.046,31294,10,2.336,31329,10,-1.231,31150,10,-0.818,27929,9,10.088,30072,9,25.037,12056,4,0.097,30585,10,0.043,31053,10,-1.64,32860,10,0.144,28221,9,30.771,19008,6,-1.936,24568,8,0.079,14209,5,0.663,6122,2,1339,193,466,785
E01030009,Ipswich 005C,E07000202,Ipswich,5.957,29804,9,0.067,30408,10,0.045,31407,10,4.415,28924,9,-0.904,28590,9,-0.601,25309,8,8.486,31443,10,35.255,6810,3,0.071,31996,10,0.054,29363,9,-0.933,28957,9,0.156,26657,8,25.334,24405,8,-1.359,22063,7,0.588,6428,2,0.466,8299,3,1446,208,484,835
E01030010,Ipswich 005D,E07000202,Ipswich,32.104,7327,3,0.329,8142,3,0.185,7824,3,29.57,9143,3,0.432,10506,4,0.97,4343,2,19.427,17820,6,44.18,3604,2,0.527,7050,3,0.319,7360,3,0.666,7656,3,0.279,10598,4,21.832,27320,9,2.354,7337,3,0.94,2739,1,0.085,14018,5,1997,362,421,1291
E01030011,Ipswich 005E,E07000202,Ipswich,2.811,32882,10,0.041,32784,10,0.036,32733,10,2.785,30813,10,-1.234,31168,10,-1.277,31706,10,14.021,25490,8,15.673,18564,6,0.065,32319,10,0.042,31262,10,-1.248,31273,10,0.142,28502,9,37.402,12477,4,-2.376,26306,8,-0.513,26537,8,0.707,5693,2,1543,233,627,807
E01030012,Ipswich 013A,E07000202,Ipswich,50.404,2300,1,0.47,3247,1,0.314,1470,1,58.458,1811,1,1.534,1548,1,1.135,3085,1,20.411,16474,5,5.284,29146,9,0.576,5417,2,0.357,6001,2,1.278,2629,1,0.416,1920,1,30.284,19529,6,1.63,9485,3,-0.5,26276,8,-0.692,27844,9,1199,229,311,729
E01030013,Ipswich 013B,E07000202,Ipswich,34.871,6217,2,0.384,5897,2,0.22,5347,2,55.234,2303,1,0.825,6203,2,0.527,9152,3,17.168,21052,7,5.455,28956,9,0.599,4752,2,0.286,8725,3,1.239,2874,1,0.401,2453,1,30.761,19022,6,0.639,13061,4,-0.987,32236,10,-0.067,16805,5,1512,320,402,855
E01030014,Ipswich 013C,E07000202,Ipswich,28.985,8800,3,0.341,7583,3,0.184,7935,3,57.771,1913,1,0.301,12187,4,-0.084,18032,6,18.862,18601,6,4.353,30248,9,0.456,9705,3,0.253,10251,4,1.608,1151,1,0.361,4392,2,32.747,16984,6,0.757,12575,4,-0.917,31729,10,-0.264,20544,7,1478,341,393,832
E01030015,Ipswich 013D,E07000202,Ipswich,9.135,26039,8,0.08,28684,9,0.077,23670,8,14.661,18405,6,-0.228,19768,6,0.091,15447,5,14.772,24484,8,9.543,24249,8,0.15,26747,8,0.019,33523,10,-0.572,24944,8,0.262,12433,4,36.152,13603,5,-1.478,22606,7,-0.368,23597,7,-0.184,19083,6,1194,206,416,662
E01030016,Ipswich 013E,E07000202,Ipswich,17.83,16513,5,0.22,14222,5,0.129,13968,5,28.764,9526,3,0.151,14204,5,0.025,16413,5,11.18,28946,9,9.336,24487,8,0.331,15200,5,0.164,15624,5,0.07,15395,5,0.342,5613,2,33.361,16376,5,-2.26,25862,8,-0.305,22243,7,-0.375,22591,7,1322,220,431,783
E01030017,Ipswich 015A,E07000202,Ipswich,42.046,4048,2,0.389,5706,2,0.261,3177,1,57.566,1946,1,0.936,5152,2,0.889,5076,2,25.818,10047,3,15.313,18852,6,0.629,3942,2,0.148,16983,6,1.73,803,1,0.338,5855,2,36.06,13687,5,2.009,8326,3,0.035,15029,5,-0.407,23217,7,1420,337,343,810
E01030018,Ipswich 015B,E07000202,Ipswich,53.567,1787,1,0.517,2137,1,0.335,1025,1,65.68,919,1,0.978,4815,2,1.173,2826,1,26.139,9761,3,6.915,27204,9,0.647,3475,2,0.271,9358,3,1.734,795,1,0.395,2688,1,33.959,15734,5,2.474,7006,3,-0.431,24892,8,-0.499,24839,8,1514,416,306,871
E01030019,Ipswich 015C,E07000202,Ipswich,11.008,23771,8,0.128,22499,7,0.085,21805,7,20.392,14088,5,-0.247,20047,6,-0.526,24282,8,16.18,22544,7,12.041,21759,7,0.252,19536,6,0.074,25788,8,-0.066,17401,6,0.278,10687,4,35.668,14063,5,-0.749,19303,6,-0.19,19773,6,-0.229,19925,6,1456,209,513,834
E01030020,Ipswich 015D,E07000202,Ipswich,13.004,21439,7,0.151,20047,6,0.097,19420,6,23.694,12050,4,-0.119,18175,6,-0.505,23989,8,19.828,17258,6,6.27,27959,9,0.262,18919,6,0.114,20311,7,0.051,15694,5,0.299,8793,3,37.614,12301,4,-0.015,15924,5,-0.512,26508,8,-0.426,23588,7,1392,212,520,778
E01030021,Ipswich 015E,E07000202,Ipswich,55.998,1465,1,0.533,1862,1,0.3,1838,1,71.554,513,1,1.129,3665,2,1.147,3010,1,37.913,2793,1,6.044,28223,9,0.672,2887,1,0.343,6487,2,2.119,236,1,0.388,2986,1,44.611,7609,3,3.404,4934,2,-0.803,30704,10,-0.09,17273,6,1384,357,265,839
E01030022,Ipswich 006A,E07000202,Ipswich,27.962,9325,3,0.248,12391,4,0.154,10829,4,32.963,7790,3,0.227,13154,4,0.721,6762,3,21.974,14467,5,45.337,3267,1,0.397,12078,4,0.178,14694,5,0.575,8688,3,0.324,6848,3,24.042,25548,8,2.793,6217,2,0.757,4507,2,0.919,3917,2,2131,410,310,1509
E01030023,Ipswich 006B,E07000202,Ipswich,44.1,3573,2,0.46,3483,2,0.195,7022,3,62.505,1269,1,0.449,10299,4,1.346,1877,1,24.27,11720,4,41.363,4463,2,0.732,1754,1,0.33,6956,3,1.076,3976,2,0.473,713,1,22.773,26588,8,3.47,4802,2,0.659,5596,2,0.85,4433,2,1962,472,199,1352
E01030024,Ipswich 006C,E07000202,Ipswich,55.917,1477,1,0.442,4008,2,0.256,3440,2,77.958,220,1,0.994,4687,2,1.818,500,1,24.509,11428,4,53.539,1616,1,0.638,3711,2,0.487,2697,1,2.165,195,1,0.424,1649,1,21.156,27809,9,3.631,4472,2,0.899,3093,1,1.173,2470,1,2034,383,305,1401
E01030025,Ipswich 006D,E07000202,Ipswich,35.102,6142,2,0.299,9605,3,0.205,6365,2,40.893,5267,2,0.668,7785,3,0.859,5330,2,20.959,15729,5,47.19,2832,1,0.39,12406,4,0.222,11924,4,1.158,3366,1,0.305,8330,3,21.212,27772,9,2.78,6258,2,0.893,3137,1,0.612,6658,2,1878,299,346,1330
E01030026,Ipswich 006E,E07000202,Ipswich,27.538,9581,3,0.334,7916,3,0.148,11510,4,29.597,9133,3,0.471,10028,3,0.514,9333,3,17.825,20127,6,35.948,6500,2,0.489,8427,3,0.274,9201,3,0.54,9087,3,0.298,8918,3,25.055,24668,8,1.638,9444,3,0.523,7235,3,0.711,5659,2,1964,487,218,1298
E01030027,Ipswich 003A,E07000202,Ipswich,17.722,16626,5,0.176,17594,6,0.093,20001,6,26.27,10714,4,-0.025,16815,5,0.355,11517,4,23.333,12782,4,22.11,13848,5,0.301,16739,5,0.103,21575,7,0.208,13444,4,0.307,8136,3,28.039,21843,7,2.706,6458,2,0.019,15349,5,0.494,7981,3,2062,439,346,1372
E01030028,Ipswich 003B,E07000202,Ipswich,24.344,11527,4,0.265,11429,4,0.146,11750,4,41.264,5165,2,0.348,11560,4,0.07,15760,5,21.141,15478,5,17.578,17071,6,0.447,10085,3,0.123,19374,6,0.943,5013,2,0.344,5487,2,34.788,14911,5,0.997,11677,4,-0.353,23266,7,0.692,5852,2,1747,375,376,1071
E01030029,Ipswich 003C,E07000202,Ipswich,38.225,5087,2,0.407,5077,2,0.21,5981,2,54.956,2345,1,0.892,5537,2,0.936,4630,2,21.826,14644,5,13.94,20029,6,0.649,3418,2,0.173,15019,5,1.259,2748,1,0.396,2641,1,30.919,18864,6,1.891,8638,3,-0.298,22107,7,0.238,11544,4,1667,404,354,982
E01030030,Ipswich 003D,E07000202,Ipswich,23.752,11947,4,0.279,10611,4,0.138,12744,4,35.222,6989,3,0.433,10494,4,0.061,15879,5,21.585,14942,5,17.259,17303,6,0.463,9395,3,0.182,14443,5,0.803,6271,2,0.312,7705,3,31.519,18203,6,1.725,9159,3,-0.054,16878,6,0.13,13270,4,2186,469,391,1431
E01030031,Ipswich 003E,E07000202,Ipswich,51.267,2155,1,0.477,3079,1,0.339,976,1,58.535,1796,1,1.511,1628,1,0.004,16717,5,29.338,7044,3,14.228,19759,6,0.724,1891,1,0.437,3771,2,1.319,2424,1,0.411,2072,1,37.232,12618,4,2.67,6543,2,-0.875,31387,10,0.817,4702,2,1502,314,318,958
E01030032,Ipswich 001A,E07000202,Ipswich,35.388,6026,2,0.412,4931,2,0.201,6631,2,52.893,2685,1,0.652,7956,3,0.647,7654,3,25.844,10026,3,4.597,29960,9,0.549,6277,2,0.39,4988,2,1.111,3713,2,0.403,2390,1,31.962,17738,6,2.743,6357,2,-0.801,30670,10,-0.312,21462,7,1501,383,237,894
E01030033,Ipswich 001B,E07000202,Ipswich,4.682,31247,10,0.072,29729,9,0.057,28939,9,9.694,23007,7,-0.511,23867,8,-1.007,29803,9,14.244,25195,8,3.04,31630,10,0.157,26264,8,0.038,31866,10,-1.229,31174,10,0.235,15480,5,37.152,12673,4,-2.142,25400,8,-0.937,31889,10,-0.487,24650,8,1495,244,519,838
E01030034,Ipswich 001C,E07000202,Ipswich,7.378,28209,9,0.054,31785,10,0.051,30231,9,18.511,15418,5,-0.492,23618,7,-0.863,28402,9,22.286,14066,5,11.048,22738,7,0.114,29512,9,0.034,32329,10,-0.435,23036,7,0.292,9519,3,43.548,8140,3,-0.723,19183,6,-0.344,23082,7,-0.029,16069,5,1407,134,675,731
E01030035,Ipswich 001D,E07000202,Ipswich,41.704,4154,2,0.434,4244,2,0.23,4788,2,64.492,1048,1,0.742,7015,3,1.072,3497,2,24.923,10973,4,4.82,29700,9,0.628,3959,2,0.281,8926,3,1.475,1646,1,0.425,1614,1,35.497,14230,5,1.875,8685,3,-0.706,29602,9,-0.374,22564,7,1944,453,376,1172
E01030036,Ipswich 001E,E07000202,Ipswich,39.894,4601,2,0.417,4762,2,0.234,4565,2,57.317,1984,1,1.061,4148,2,0.612,8093,3,26.22,9685,3,3.661,30970,10,0.541,6552,2,0.39,4989,2,1.412,1954,1,0.39,2901,1,35.354,14378,5,2.245,7630,3,-0.678,29221,9,-0.675,27595,9,1972,472,460,1129
E01033122,Ipswich 012F,E07000202,Ipswich,48.882,2552,1,0.492,2699,1,0.253,3590,2,68.555,707,1,1.151,3518,2,0.946,4548,2,28.554,7683,3,13.277,20624,7,0.693,2492,1,0.394,4889,2,2.213,154,1,0.357,4620,2,26.921,22934,7,4.005,3736,2,-0.52,26671,8,0.481,8141,3,2321,613,156,1555
E01033123,Ipswich 011E,E07000202,Ipswich,27.081,9840,3,0.304,9361,3,0.167,9531,3,34.178,7352,3,0.271,12568,4,0.563,8724,3,17.212,20973,7,31.214,8679,3,0.49,8398,3,0.188,14024,5,0.86,5746,2,0.294,9236,3,24.995,24728,8,1.473,9960,3,0.412,8739,3,0.534,7538,3,1761,343,308,1183
E01033124,Ipswich 007F,E07000202,Ipswich,29.925,8318,3,0.255,11971,4,0.141,12382,4,43.338,4649,2,0.746,6974,3,1.111,3239,1,20.249,16684,5,30.009,9255,3,0.975,109,1,0.482,2805,1,1.609,1150,1,0.226,16525,5,21.176,27793,9,2.612,6679,2,-0.043,16638,5,1.353,1791,1,1055,47,106,964
E01033125,Ipswich 007G,E07000202,Ipswich,42.188,4017,2,0.367,6538,2,0.228,4897,2,42.698,4801,2,1.085,3973,2,1.468,1366,1,22.015,14411,5,41.009,4589,2,0.467,9253,3,0.479,2849,1,1.336,2334,1,0.288,9843,3,19.074,29178,9,3.182,5380,2,0.556,6829,3,1.09,2884,1,1443,206,192,1103
E01033126,Ipswich 011F,E07000202,Ipswich,16.326,17902,6,0.159,19242,6,0.078,23504,7,29.238,9290,3,-0.355,21647,7,0.628,7888,3,23.85,12203,4,15.212,18939,6,0.397,12081,4,0.186,14178,5,1.043,4213,2,0.206,19327,6,24.832,24871,8,3.19,5366,2,-0.926,31816,10,0.926,3881,2,1905,280,152,1489
E01033127,Ipswich 014E,E07000202,Ipswich,22.041,13111,4,0.268,11219,4,0.118,15570,5,39.067,5743,2,0.803,6417,2,-0.243,20316,7,16.498,22094,7,5.021,29457,9,0.4,11991,4,0.184,14248,5,1.333,2355,1,0.251,13556,5,32.976,16744,5,0.018,15769,5,-1.468,33626,10,-0.038,16225,5,1658,340,266,1108
E01033128,Ipswich 014F,E07000202,Ipswich,20.172,14572,5,0.231,13501,4,0.151,11151,4,18.194,15660,5,0.707,7363,3,0.278,12624,4,15.884,22967,7,2.999,31665,10,0.288,17406,6,0.217,12215,4,0.06,15567,5,0.242,14575,5,29.893,19934,6,0.415,13981,5,-1.041,32531,10,-0.43,23668,8,1186,240,224,773
E01033129,Ipswich 007H,E07000202,Ipswich,51.025,2191,1,0.442,4011,2,0.266,2993,1,57.077,2018,1,1.296,2633,1,1.854,452,1,20.619,16202,5,37.358,5941,2,0.662,3129,1,0.456,3309,1,1.5,1549,1,0.374,3666,2,20.657,28177,9,2.742,6361,2,0.347,9717,3,1.255,2145,1,1718,317,156,1285
E01033130,Ipswich 012G,E07000202,Ipswich,53.554,1790,1,0.454,3668,2,0.253,3563,2,65.219,964,1,0.995,4680,2,1.93,350,1,27.238,8730,3,45.775,3163,1,0.781,1061,1,0.447,3546,2,1.526,1442,1,0.422,1697,1,23.528,25976,8,4.023,3703,2,0.702,5090,2,1.124,2713,1,1150,175,152,878
